data,area,totale,m,f,d,N1,N2,ISTAT,reg
2023-10-19,PAT,313,144,169,313,ITH,ITH2,4,Provincia Autonoma Trento
2023-10-26,PAT,607,293,314,607,ITH,ITH2,4,Provincia Autonoma Trento
2023-10-29,PAT,1,0,1,1,ITH,ITH2,4,Provincia Autonoma Trento
2023-11-08,PAT,616,277,339,616,ITH,ITH2,4,Provincia Autonoma Trento
2023-11-11,PAT,17,8,9,17,ITH,ITH2,4,Provincia Autonoma Trento
2023-09-27,PIE,5,3,2,5,ITC,ITC1,1,Piemonte
2023-10-07,PIE,48,25,23,48,ITC,ITC1,1,Piemonte
2023-10-10,PIE,95,51,44,95,ITC,ITC1,1,Piemonte
2023-10-13,PIE,205,114,91,205,ITC,ITC1,1,Piemonte
2023-10-16,PIE,191,111,80,191,ITC,ITC1,1,Piemonte
2023-10-20,PIE,831,421,410,831,ITC,ITC1,1,Piemonte
2023-10-23,PIE,774,377,397,774,ITC,ITC1,1,Piemonte
2023-10-26,PIE,1443,725,718,1443,ITC,ITC1,1,Piemonte
2023-10-29,PIE,22,10,12,22,ITC,ITC1,1,Piemonte
2023-11-05,PIE,68,26,42,68,ITC,ITC1,1,Piemonte
2023-11-08,PIE,3038,1490,1548,3038,ITC,ITC1,1,Piemonte
2023-11-11,PIE,1763,870,893,1763,ITC,ITC1,1,Piemonte
2023-10-10,PUG,82,33,49,82,ITF,ITF4,16,Puglia
2023-10-13,PUG,204,111,93,204,ITF,ITF4,16,Puglia
2023-10-16,PUG,282,145,137,282,ITF,ITF4,16,Puglia
2023-10-23,PUG,844,419,425,844,ITF,ITF4,16,Puglia
2023-10-26,PUG,1307,642,665,1307,ITF,ITF4,16,Puglia
2023-10-29,PUG,62,39,23,62,ITF,ITF4,16,Puglia
2023-11-01,PUG,34,15,19,34,ITF,ITF4,16,Puglia
2023-11-08,PUG,1483,751,732,1483,ITF,ITF4,16,Puglia
2023-11-11,PUG,385,206,179,385,ITF,ITF4,16,Puglia
2023-10-11,SAR,89,42,47,89,ITG,ITG2,20,Sardegna
2023-10-17,SAR,129,64,65,129,ITG,ITG2,20,Sardegna
2023-10-24,SAR,191,84,107,191,ITG,ITG2,20,Sardegna
2023-10-27,SAR,175,81,94,175,ITG,ITG2,20,Sardegna
2023-10-30,SAR,169,94,75,169,ITG,ITG2,20,Sardegna
2023-11-02,SAR,171,93,78,171,ITG,ITG2,20,Sardegna
2023-11-09,SAR,303,160,143,303,ITG,ITG2,20,Sardegna
2023-10-16,SIC,6,3,3,6,ITG,ITG1,19,Sicilia
2023-10-19,SIC,31,20,11,31,ITG,ITG1,19,Sicilia
2023-10-28,LOM,5709,2813,2896,5709,ITC,ITC4,3,Lombardia
2023-11-04,LOM,5600,2690,2910,5600,ITC,ITC4,3,Lombardia
2023-11-07,LOM,10243,4753,5490,10243,ITC,ITC4,3,Lombardia
2023-11-10,LOM,9663,4500,5163,9663,ITC,ITC4,3,Lombardia
2023-11-13,LOM,8381,3939,4442,8381,ITC,ITC4,3,Lombardia
2023-09-25,MAR,1,1,0,1,ITI,ITI3,11,Marche
2023-09-29,MAR,1,1,0,1,ITI,ITI3,11,Marche
2023-10-15,MAR,1,1,0,1,ITI,ITI3,11,Marche
2023-10-18,MAR,365,203,162,365,ITI,ITI3,11,Marche
2023-10-21,MAR,314,141,173,314,ITI,ITI3,11,Marche
2023-10-24,MAR,573,300,273,573,ITI,ITI3,11,Marche
2023-10-31,MAR,621,307,314,621,ITI,ITI3,11,Marche
2023-11-03,MAR,857,440,417,857,ITI,ITI3,11,Marche
2023-11-06,MAR,416,211,205,416,ITI,ITI3,11,Marche
2023-11-09,MAR,1119,531,588,1119,ITI,ITI3,11,Marche
2023-11-13,MAR,442,212,230,442,ITI,ITI3,11,Marche
2023-10-09,MOL,10,6,4,10,ITF,ITF2,14,Molise
2023-10-25,MOL,74,40,34,74,ITF,ITF2,14,Molise
2023-10-28,MOL,42,12,30,42,ITF,ITF2,14,Molise
2023-10-31,MOL,33,13,20,33,ITF,ITF2,14,Molise
2023-11-07,MOL,73,41,32,73,ITF,ITF2,14,Molise
2023-11-10,MOL,60,31,29,60,ITF,ITF2,14,Molise
2023-11-13,MOL,66,43,23,66,ITF,ITF2,14,Molise
2023-10-14,PAB,21,7,14,21,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2023-10-17,PAB,500,254,246,500,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2023-10-20,PAB,287,148,139,287,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2023-10-23,PAB,201,94,107,201,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2023-10-30,PAB,183,83,100,183,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2023-11-02,PAB,300,138,162,300,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2023-11-05,PAB,7,2,5,7,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2023-11-12,PAB,2,2,0,2,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2023-10-22,PAT,1,0,1,1,ITH,ITH2,4,Provincia Autonoma Trento
2023-10-25,PAT,411,191,220,411,ITH,ITH2,4,Provincia Autonoma Trento
2023-10-28,PAT,47,16,31,47,ITH,ITH2,4,Provincia Autonoma Trento
2023-10-31,PAT,451,245,206,451,ITH,ITH2,4,Provincia Autonoma Trento
2023-11-07,PAT,562,285,277,562,ITH,ITH2,4,Provincia Autonoma Trento
2023-11-10,PAT,572,258,314,572,ITH,ITH2,4,Provincia Autonoma Trento
2023-11-13,PAT,442,225,217,442,ITH,ITH2,4,Provincia Autonoma Trento
2023-09-25,PIE,6,3,3,6,ITC,ITC1,1,Piemonte
2023-09-28,PIE,25,15,10,25,ITC,ITC1,1,Piemonte
2023-10-04,PIE,23,16,7,23,ITC,ITC1,1,Piemonte
2023-10-11,PIE,137,69,68,137,ITC,ITC1,1,Piemonte
2023-10-14,PIE,43,20,23,43,ITC,ITC1,1,Piemonte
2023-10-17,PIE,411,205,206,411,ITC,ITC1,1,Piemonte
2023-10-24,PIE,1272,627,645,1272,ITC,ITC1,1,Piemonte
2023-10-27,PIE,2146,1044,1102,2146,ITC,ITC1,1,Piemonte
2023-10-30,PIE,1128,559,569,1128,ITC,ITC1,1,Piemonte
2023-11-02,PIE,1623,787,836,1623,ITC,ITC1,1,Piemonte
2023-11-09,PIE,2824,1368,1456,2824,ITC,ITC1,1,Piemonte
2023-11-12,PIE,54,26,28,54,ITC,ITC1,1,Piemonte
2023-09-29,PUG,3,2,1,3,ITF,ITF4,16,Puglia
2023-10-03,PUG,10,7,3,10,ITF,ITF4,16,Puglia
2023-10-06,PUG,13,8,5,13,ITF,ITF4,16,Puglia
2023-10-09,PUG,14,7,7,14,ITF,ITF4,16,Puglia
2023-10-12,PUG,86,62,24,86,ITF,ITF4,16,Puglia
2023-10-19,PUG,454,241,213,454,ITF,ITF4,16,Puglia
2023-10-22,PUG,23,9,14,23,ITF,ITF4,16,Puglia
2023-10-25,PUG,1021,518,503,1021,ITF,ITF4,16,Puglia
2023-10-28,PUG,369,197,172,369,ITF,ITF4,16,Puglia
2023-11-04,PUG,319,158,161,319,ITF,ITF4,16,Puglia
2023-11-07,PUG,1156,568,588,1156,ITF,ITF4,16,Puglia
2023-11-10,PUG,1711,897,814,1711,ITF,ITF4,16,Puglia
2023-11-13,PUG,557,266,291,557,ITF,ITF4,16,Puglia
2023-09-27,SAR,5,3,2,5,ITG,ITG2,20,Sardegna
2023-10-04,SAR,24,10,14,24,ITG,ITG2,20,Sardegna
2023-10-10,SAR,54,32,22,54,ITG,ITG2,20,Sardegna
2023-10-13,SAR,111,56,55,111,ITG,ITG2,20,Sardegna
2023-10-24,SIC,70,40,30,70,ITG,ITG1,19,Sicilia
2023-10-27,SIC,47,26,21,47,ITG,ITG1,19,Sicilia
2023-11-03,SIC,47,23,24,47,ITG,ITG1,19,Sicilia
2023-11-06,SIC,42,20,22,42,ITG,ITG1,19,Sicilia
2023-11-09,SIC,69,36,33,69,ITG,ITG1,19,Sicilia
2023-09-27,TOS,5,2,3,5,ITI,ITI1,9,Toscana
2023-09-30,TOS,2,2,0,2,ITI,ITI1,9,Toscana
2023-10-07,TOS,242,137,105,242,ITI,ITI1,9,Toscana
2023-10-10,TOS,307,150,157,307,ITI,ITI1,9,Toscana
2023-10-13,TOS,693,347,346,693,ITI,ITI1,9,Toscana
2023-10-16,TOS,735,315,420,735,ITI,ITI1,9,Toscana
2023-10-23,TOS,2224,1043,1181,2224,ITI,ITI1,9,Toscana
2023-10-26,TOS,4651,2170,2481,4651,ITI,ITI1,9,Toscana
2023-10-29,TOS,31,13,18,31,ITI,ITI1,9,Toscana
2023-11-01,TOS,126,51,75,126,ITI,ITI1,9,Toscana
2023-11-08,TOS,6415,2917,3498,6415,ITI,ITI1,9,Toscana
2023-11-11,TOS,2397,1098,1299,2397,ITI,ITI1,9,Toscana
2023-10-29,UMB,2,1,1,2,ITI,ITI2,10,Umbria
2023-11-01,UMB,13,6,7,13,ITI,ITI2,10,Umbria
2023-11-04,UMB,25,6,19,25,ITI,ITI2,10,Umbria
2023-11-07,UMB,28,16,12,28,ITI,ITI2,10,Umbria
2023-10-13,VDA,75,35,40,75,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-10-16,VDA,115,58,57,115,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-10-23,VDA,156,77,79,156,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-10-26,VDA,135,67,68,135,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-11-01,VDA,1,0,1,1,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-11-08,VDA,233,112,121,233,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-11-11,VDA,81,33,48,81,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-09-28,VEN,1,1,0,1,ITH,ITH3,5,Veneto
2023-10-11,VEN,1,0,1,1,ITH,ITH3,5,Veneto
2023-10-17,VEN,157,60,97,157,ITH,ITH3,5,Veneto
2023-10-24,VEN,586,219,367,586,ITH,ITH3,5,Veneto
2023-10-27,VEN,1650,769,881,1650,ITH,ITH3,5,Veneto
2023-10-30,VEN,1184,527,657,1184,ITH,ITH3,5,Veneto
2023-11-02,VEN,1609,726,883,1609,ITH,ITH3,5,Veneto
2023-11-09,VEN,1857,884,973,1857,ITH,ITH3,5,Veneto
2023-11-12,VEN,9,5,4,9,ITH,ITH3,5,Veneto
2023-10-26,SIC,44,22,22,44,ITG,ITG1,19,Sicilia
2023-11-04,SIC,8,5,3,8,ITG,ITG1,19,Sicilia
2023-11-08,SIC,26,15,11,26,ITG,ITG1,19,Sicilia
2023-11-11,SIC,29,16,13,29,ITG,ITG1,19,Sicilia
2023-09-25,TOS,6,5,1,6,ITI,ITI1,9,Toscana
2023-09-29,TOS,3,0,3,3,ITI,ITI1,9,Toscana
2023-10-02,TOS,286,162,124,286,ITI,ITI1,9,Toscana
2023-10-05,TOS,442,227,215,442,ITI,ITI1,9,Toscana
2023-10-18,TOS,1086,525,561,1086,ITI,ITI1,9,Toscana
2023-10-21,TOS,867,438,429,867,ITI,ITI1,9,Toscana
2023-10-24,TOS,2476,1140,1336,2476,ITI,ITI1,9,Toscana
2023-10-31,TOS,2425,1089,1336,2425,ITI,ITI1,9,Toscana
2023-11-03,TOS,5847,2763,3084,5847,ITI,ITI1,9,Toscana
2023-11-06,TOS,3856,1867,1989,3856,ITI,ITI1,9,Toscana
2023-11-09,TOS,7905,3744,4161,7905,ITI,ITI1,9,Toscana
2023-10-14,UMB,6,3,3,6,ITI,ITI2,10,Umbria
2023-10-21,UMB,24,13,11,24,ITI,ITI2,10,Umbria
2023-10-27,UMB,397,196,201,397,ITI,ITI2,10,Umbria
2023-10-30,UMB,350,178,172,350,ITI,ITI2,10,Umbria
2023-11-06,UMB,48,27,21,48,ITI,ITI2,10,Umbria
2023-11-09,UMB,73,38,35,73,ITI,ITI2,10,Umbria
2023-10-18,VDA,152,71,81,152,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-10-21,VDA,5,2,3,5,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-10-24,VDA,190,92,98,190,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-10-31,VDA,172,81,91,172,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-11-03,VDA,196,90,106,196,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-11-06,VDA,90,50,40,90,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-11-09,VDA,159,75,84,159,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-10-06,VEN,11,6,5,11,ITH,ITH3,5,Veneto
2023-10-16,VEN,152,72,80,152,ITH,ITH3,5,Veneto
2023-10-19,VEN,201,82,119,201,ITH,ITH3,5,Veneto
2023-10-22,VEN,6,4,2,6,ITH,ITH3,5,Veneto
2023-10-25,VEN,917,313,604,917,ITH,ITH3,5,Veneto
2023-11-01,VEN,2,1,1,2,ITH,ITH3,5,Veneto
2023-11-04,VEN,1184,589,595,1184,ITH,ITH3,5,Veneto
2023-11-07,VEN,1689,760,929,1689,ITH,ITH3,5,Veneto
2023-10-20,SAR,120,59,61,120,ITG,ITG2,20,Sardegna
2023-10-23,SAR,128,69,59,128,ITG,ITG2,20,Sardegna
2023-10-26,SAR,205,101,104,205,ITG,ITG2,20,Sardegna
2023-11-08,SAR,292,155,137,292,ITG,ITG2,20,Sardegna
2023-10-17,SIC,16,9,7,16,ITG,ITG1,19,Sicilia
2023-10-20,SIC,25,16,9,25,ITG,ITG1,19,Sicilia
2023-10-23,SIC,26,14,12,26,ITG,ITG1,19,Sicilia
2023-10-30,SIC,27,17,10,27,ITG,ITG1,19,Sicilia
2023-11-02,SIC,52,28,24,52,ITG,ITG1,19,Sicilia
2023-10-03,TOS,138,67,71,138,ITI,ITI1,9,Toscana
2023-10-06,TOS,228,103,125,228,ITI,ITI1,9,Toscana
2023-10-09,TOS,490,257,233,490,ITI,ITI1,9,Toscana
2023-10-12,TOS,810,363,447,810,ITI,ITI1,9,Toscana
2023-10-19,TOS,2365,1120,1245,2365,ITI,ITI1,9,Toscana
2023-10-22,TOS,19,7,12,19,ITI,ITI1,9,Toscana
2023-10-25,TOS,3548,1704,1844,3548,ITI,ITI1,9,Toscana
2023-10-28,TOS,1246,643,603,1246,ITI,ITI1,9,Toscana
2023-11-04,TOS,1924,924,1000,1924,ITI,ITI1,9,Toscana
2023-11-07,TOS,5127,2400,2727,5127,ITI,ITI1,9,Toscana
2023-11-10,TOS,6425,3042,3383,6425,ITI,ITI1,9,Toscana
2023-11-13,TOS,3289,1550,1739,3289,ITI,ITI1,9,Toscana
2023-10-12,UMB,6,3,3,6,ITI,ITI2,10,Umbria
2023-10-18,UMB,18,9,9,18,ITI,ITI2,10,Umbria
2023-10-25,UMB,39,34,5,39,ITI,ITI2,10,Umbria
2023-10-28,UMB,85,29,56,85,ITI,ITI2,10,Umbria
2023-10-31,UMB,281,130,151,281,ITI,ITI2,10,Umbria
2023-11-03,UMB,52,31,21,52,ITI,ITI2,10,Umbria
2023-11-10,UMB,102,49,53,102,ITI,ITI2,10,Umbria
2023-11-13,UMB,33,15,18,33,ITI,ITI2,10,Umbria
2023-09-29,VDA,6,2,4,6,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-10-06,VDA,18,10,8,18,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-10-12,VDA,13,6,7,13,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-10-19,VDA,147,77,70,147,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-10-25,VDA,342,154,188,342,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-10-28,VDA,87,43,44,87,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-11-04,VDA,109,57,52,109,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-11-07,VDA,127,58,69,127,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-11-10,VDA,160,73,87,160,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-11-13,VDA,51,24,27,51,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-09-26,VEN,72,22,50,72,ITH,ITH3,5,Veneto
2023-09-29,VEN,18,10,8,18,ITH,ITH3,5,Veneto
2023-10-02,VEN,3,3,0,3,ITH,ITH3,5,Veneto
2023-10-05,VEN,7,1,6,7,ITH,ITH3,5,Veneto
2023-10-12,VEN,1,1,0,1,ITH,ITH3,5,Veneto
2023-10-18,VEN,236,63,173,236,ITH,ITH3,5,Veneto
2023-10-21,VEN,49,21,28,49,ITH,ITH3,5,Veneto
2023-10-28,VEN,673,329,344,673,ITH,ITH3,5,Veneto
2023-10-31,VEN,1385,605,780,1385,ITH,ITH3,5,Veneto
2023-11-03,VEN,1182,564,618,1182,ITH,ITH3,5,Veneto
2023-11-06,VEN,1350,633,717,1350,ITH,ITH3,5,Veneto
2023-11-10,VEN,2268,1116,1152,2268,ITH,ITH3,5,Veneto
2023-11-13,VEN,1183,602,581,1183,ITH,ITH3,5,Veneto
2023-11-13,SAR,354,183,171,354,ITG,ITG2,20,Sardegna
2023-10-22,SIC,2,1,1,2,ITG,ITG1,19,Sicilia
2023-10-25,SIC,35,21,14,35,ITG,ITG1,19,Sicilia
2023-10-28,SIC,7,1,6,7,ITG,ITG1,19,Sicilia
2023-10-31,SIC,68,41,27,68,ITG,ITG1,19,Sicilia
2023-11-07,SIC,73,42,31,73,ITG,ITG1,19,Sicilia
2023-11-10,SIC,28,15,13,28,ITG,ITG1,19,Sicilia
2023-09-28,TOS,1,0,1,1,ITI,ITI1,9,Toscana
2023-10-04,TOS,276,153,123,276,ITI,ITI1,9,Toscana
2023-10-11,TOS,598,290,308,598,ITI,ITI1,9,Toscana
2023-10-14,TOS,358,182,176,358,ITI,ITI1,9,Toscana
2023-10-17,TOS,653,295,358,653,ITI,ITI1,9,Toscana
2023-10-20,TOS,2188,1063,1125,2188,ITI,ITI1,9,Toscana
2023-10-27,TOS,4104,1931,2173,4104,ITI,ITI1,9,Toscana
2023-10-30,TOS,2481,1170,1311,2481,ITI,ITI1,9,Toscana
2023-11-02,TOS,3763,1832,1931,3763,ITI,ITI1,9,Toscana
2023-11-05,TOS,155,85,70,155,ITI,ITI1,9,Toscana
2023-11-12,TOS,173,81,92,173,ITI,ITI1,9,Toscana
2023-10-04,UMB,18,10,8,18,ITI,ITI2,10,Umbria
2023-10-26,UMB,115,56,59,115,ITI,ITI2,10,Umbria
2023-11-02,UMB,347,183,164,347,ITI,ITI2,10,Umbria
2023-11-08,UMB,33,16,17,33,ITI,ITI2,10,Umbria
2023-10-17,VDA,75,35,40,75,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-10-20,VDA,142,67,75,142,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-10-27,VDA,236,103,133,236,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-10-30,VDA,128,64,64,128,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-11-02,VDA,165,76,89,165,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-11-05,VDA,7,2,5,7,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-09-27,VEN,34,12,22,34,ITH,ITH3,5,Veneto
2023-10-07,VEN,1,0,1,1,ITH,ITH3,5,Veneto
2023-10-10,VEN,5,1,4,5,ITH,ITH3,5,Veneto
2023-10-13,VEN,98,29,69,98,ITH,ITH3,5,Veneto
2023-10-20,VEN,463,226,237,463,ITH,ITH3,5,Veneto
2023-10-23,VEN,324,140,184,324,ITH,ITH3,5,Veneto
2023-10-26,VEN,952,437,515,952,ITH,ITH3,5,Veneto
2023-10-29,VEN,35,19,16,35,ITH,ITH3,5,Veneto
2023-11-05,VEN,49,30,19,49,ITH,ITH3,5,Veneto
2023-11-08,VEN,1848,895,953,1848,ITH,ITH3,5,Veneto
2023-11-11,VEN,1498,761,737,1498,ITH,ITH3,5,Veneto
