data_somministrazione,area,totale,sesso_maschile,sesso_femminile,prima_dose,seconda_dose,pregressa_infezione,dose_aggiuntiva,dose_booster,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
2021-07-05,EMR,33248,16214,17034,11257,21270,721,0,0,ITH,ITH5,8,Emilia-Romagna
2021-07-17,LOM,108526,57304,51222,10484,97089,953,0,0,ITC,ITC4,3,Lombardia
2021-08-08,MAR,5639,3021,2618,1684,3837,118,0,0,ITI,ITI3,11,Marche
2021-09-19,CAL,1560,848,712,855,669,36,0,0,ITF,ITF6,18,Calabria
2021-10-06,SAR,2919,1615,1304,1382,1257,87,61,132,ITG,ITG2,20,Sardegna
2021-01-08,CAL,2203,1049,1154,2193,0,10,0,0,ITF,ITF6,18,Calabria
2021-04-05,BAS,730,236,494,410,308,12,0,0,ITF,ITF5,17,Basilicata
2021-06-26,VEN,48103,24526,23577,13814,33725,564,0,0,ITH,ITH3,5,Veneto
2021-08-11,MOL,2029,1061,968,1144,817,68,0,0,ITF,ITF2,14,Molise
2021-08-15,SAR,19,10,9,9,10,0,0,0,ITG,ITG2,20,Sardegna
2021-01-08,VDA,301,131,170,291,0,10,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-01-23,TOS,3982,1361,2621,685,3291,6,0,0,ITI,ITI1,9,Toscana
2021-02-25,PAT,1659,650,1009,1196,436,27,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-05-05,VEN,44427,21286,23141,36031,6510,1886,0,0,ITH,ITH3,5,Veneto
2021-06-29,TOS,37087,18058,19029,7983,28879,225,0,0,ITI,ITI1,9,Toscana
2021-08-29,EMR,20703,11465,9238,8556,11263,884,0,0,ITH,ITH5,8,Emilia-Romagna
2021-10-09,VEN,10702,5735,4967,4466,4034,229,821,1152,ITH,ITH3,5,Veneto
2021-11-05,ABR,5222,2811,2411,465,1732,27,667,2331,ITF,ITF1,13,Abruzzo
2021-01-11,LAZ,5826,2247,3579,5674,0,152,0,0,ITI,ITI4,12,Lazio
2021-04-02,FVG,6638,2953,3685,4608,1789,241,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-23,SIC,28635,13724,14911,22410,5816,409,0,0,ITG,ITG1,19,Sicilia
2021-05-20,PUG,33771,15321,18450,20785,12395,591,0,0,ITF,ITF4,16,Puglia
2021-06-14,UMB,5390,2750,2640,3270,1994,126,0,0,ITI,ITI2,10,Umbria
2021-09-15,PIE,15891,8208,7683,5668,9411,812,0,0,ITC,ITC1,1,Piemonte
2021-09-27,SIC,17807,9364,8443,6481,10704,348,253,21,ITG,ITG1,19,Sicilia
2021-10-11,SAR,4166,2310,1856,1595,2068,94,120,289,ITG,ITG2,20,Sardegna
2020-12-30,PAT,7,3,4,6,0,1,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-01-23,CAL,404,189,215,361,43,0,0,0,ITF,ITF6,18,Calabria
2021-03-06,VDA,22,4,18,18,0,4,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-05-03,TOS,11955,5521,6434,10368,1331,256,0,0,ITI,ITI1,9,Toscana
2021-06-05,PAT,4152,1953,2199,717,3342,93,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-07-01,VEN,51041,26070,24971,20666,29207,1168,0,0,ITH,ITH3,5,Veneto
2021-08-23,PAB,2160,1224,936,794,1325,41,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-09-09,ABR,6995,3668,3327,1340,5525,130,0,0,ITF,ITF1,13,Abruzzo
2021-01-25,CAM,5762,2929,2833,263,5499,0,0,0,ITF,ITF3,15,Campania
2021-03-24,PUG,13649,6548,7101,6042,7408,199,0,0,ITF,ITF4,16,Puglia
2021-06-07,PIE,34651,17699,16952,29286,4710,655,0,0,ITC,ITC1,1,Piemonte
2021-06-26,LAZ,56294,26538,29756,24802,30831,661,0,0,ITI,ITI4,12,Lazio
2021-07-01,CAM,61577,29883,31694,19721,40958,898,0,0,ITF,ITF3,15,Campania
2021-08-24,BAS,3268,1767,1501,1478,1712,78,0,0,ITF,ITF5,17,Basilicata
2021-08-28,PUG,5763,3156,2607,2043,3527,193,0,0,ITF,ITF4,16,Puglia
2021-09-23,MOL,687,349,338,189,265,4,224,5,ITF,ITF2,14,Molise
2021-10-06,SIC,14354,7344,7010,5273,8052,340,299,390,ITG,ITG1,19,Sicilia
2021-11-11,PIE,16990,8191,8799,1365,3204,84,3522,8815,ITC,ITC1,1,Piemonte
2021-01-12,MOL,337,114,223,335,0,2,0,0,ITF,ITF2,14,Molise
2021-01-16,LOM,15672,5794,9878,14782,0,890,0,0,ITC,ITC4,3,Lombardia
2021-01-16,VEN,4612,1542,3070,4469,0,143,0,0,ITH,ITH3,5,Veneto
2021-02-01,CAL,2569,1215,1354,240,2326,3,0,0,ITF,ITF6,18,Calabria
2021-03-10,PAB,1278,538,740,1053,140,85,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-07-08,CAL,12066,5623,6443,2693,9321,52,0,0,ITF,ITF6,18,Calabria
2021-09-17,FVG,3831,2076,1755,881,2833,117,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-01-26,PUG,5384,2411,2973,592,4766,26,0,0,ITF,ITF4,16,Puglia
2021-03-23,CAM,15754,7454,8300,12832,2466,456,0,0,ITF,ITF3,15,Campania
2021-04-30,LAZ,41870,18568,23302,26514,14413,943,0,0,ITI,ITI4,12,Lazio
2021-07-02,PUG,47613,22636,24977,17403,29189,1021,0,0,ITF,ITF4,16,Puglia
2021-08-03,PIE,30252,15820,14432,9222,20401,629,0,0,ITC,ITC1,1,Piemonte
2021-08-10,SIC,21841,10883,10958,10606,10917,318,0,0,ITG,ITG1,19,Sicilia
2021-08-27,CAM,24412,13020,11392,7811,15887,714,0,0,ITF,ITF3,15,Campania
2021-10-04,LAZ,14005,7005,7000,4353,5338,362,372,3580,ITI,ITI4,12,Lazio
2021-10-06,UMB,3273,1680,1593,762,863,39,461,1148,ITI,ITI2,10,Umbria
2021-03-14,VEN,15186,5944,9242,13756,880,550,0,0,ITH,ITH3,5,Veneto
2021-05-06,PAB,5193,2752,2441,2358,2516,319,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-05-12,CAL,16520,8054,8466,10823,5592,105,0,0,ITF,ITF6,18,Calabria
2021-09-22,PAT,1959,1050,909,1137,775,44,0,3,ITH,ITH2,4,Provincia Autonoma Trento
2021-11-13,FVG,3130,1455,1675,387,546,8,364,1825,ITH,ITH4,6,Friuli-Venezia Giulia
2021-02-05,BAS,999,449,550,72,924,3,0,0,ITF,ITF5,17,Basilicata
2021-02-10,ABR,946,311,635,494,442,10,0,0,ITF,ITF1,13,Abruzzo
2021-03-05,MAR,6227,2874,3353,4702,1443,82,0,0,ITI,ITI3,11,Marche
2021-04-16,FVG,7134,3117,4017,4962,1909,263,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-05-06,PUG,39830,17423,22407,19211,19872,747,0,0,ITF,ITF4,16,Puglia
2021-05-19,CAM,51330,22667,28663,33881,16627,822,0,0,ITF,ITF3,15,Campania
2021-07-12,BAS,5441,2592,2849,1612,3800,29,0,0,ITF,ITF5,17,Basilicata
2021-08-15,LOM,7003,3989,3014,2939,3880,184,0,0,ITC,ITC4,3,Lombardia
2021-09-29,PIE,19394,10426,8968,6992,9457,584,2349,12,ITC,ITC1,1,Piemonte
2021-01-18,EMR,3133,882,2251,2302,676,155,0,0,ITH,ITH5,8,Emilia-Romagna
2021-07-31,CAM,30739,16220,14519,10429,19589,721,0,0,ITF,ITF3,15,Campania
2021-08-08,PAB,1895,1038,857,970,832,93,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-09-04,ABR,2141,1137,1004,740,1338,63,0,0,ITF,ITF1,13,Abruzzo
2021-01-27,UMB,879,348,531,14,865,0,0,0,ITI,ITI2,10,Umbria
2021-03-05,BAS,1890,872,1018,1100,761,29,0,0,ITF,ITF5,17,Basilicata
2021-03-27,EMR,21683,9073,12610,14428,6867,388,0,0,ITH,ITH5,8,Emilia-Romagna
2021-06-02,PIE,26467,12949,13518,21435,4572,460,0,0,ITC,ITC1,1,Piemonte
2021-06-21,LAZ,62107,28860,33247,28541,32900,666,0,0,ITI,ITI4,12,Lazio
2021-06-28,SAR,14994,7042,7952,3042,11869,83,0,0,ITG,ITG2,20,Sardegna
2021-02-23,PAB,770,325,445,753,6,11,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-05-07,CAM,59806,29221,30585,42267,15851,1688,0,0,ITF,ITF3,15,Campania
2021-09-12,FVG,2410,1292,1118,1464,858,88,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-02-04,MAR,2389,844,1545,143,2241,5,0,0,ITI,ITI3,11,Marche
2021-02-22,PIE,8383,3407,4976,7408,544,431,0,0,ITC,ITC1,1,Piemonte
2021-03-18,CAL,4548,2125,2423,2359,2162,27,0,0,ITF,ITF6,18,Calabria
2021-06-13,BAS,3014,1440,1574,2678,308,28,0,0,ITF,ITF5,17,Basilicata
2021-11-08,LOM,34739,16013,18726,2433,6796,319,1610,23581,ITC,ITC4,3,Lombardia
2020-12-30,TOS,327,104,223,326,0,1,0,0,ITI,ITI1,9,Toscana
2021-01-10,UMB,1089,279,810,1085,0,4,0,0,ITI,ITI2,10,Umbria
2021-01-27,CAM,7756,3825,3931,295,7456,5,0,0,ITF,ITF3,15,Campania
2021-04-13,EMR,23726,11131,12595,18941,4286,499,0,0,ITH,ITH5,8,Emilia-Romagna
2021-04-13,PAT,2625,1096,1529,2022,510,93,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-06-04,FVG,12206,6255,5951,10277,1430,499,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-08-03,LOM,85843,46543,39300,13599,71504,740,0,0,ITC,ITC4,3,Lombardia
2021-09-01,MOL,1854,980,874,395,1438,21,0,0,ITF,ITF2,14,Molise
2021-01-20,PAT,308,77,231,285,10,13,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-05-17,PAB,3162,1527,1635,2249,684,229,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-05-21,UMB,8990,3675,5315,4075,4823,92,0,0,ITI,ITI2,10,Umbria
2021-07-29,LIG,18072,9261,8811,4379,13555,138,0,0,ITC,ITC3,7,Liguria
2021-01-03,EMR,2765,946,1819,2727,0,38,0,0,ITH,ITH5,8,Emilia-Romagna
2021-03-02,PUG,16453,6120,10333,14736,1257,460,0,0,ITF,ITF4,16,Puglia
2021-03-22,BAS,1228,551,677,649,570,9,0,0,ITF,ITF5,17,Basilicata
2021-04-06,SAR,7593,3163,4430,5057,2441,95,0,0,ITG,ITG2,20,Sardegna
2021-04-25,LOM,51631,23670,27961,45510,4772,1349,0,0,ITC,ITC4,3,Lombardia
2021-08-24,TOS,22103,11620,10483,12894,8313,896,0,0,ITI,ITI1,9,Toscana
2021-03-13,LAZ,21882,8771,13111,15609,5870,403,0,0,ITI,ITI4,12,Lazio
2021-03-17,VDA,438,185,253,261,159,18,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-04-30,PAT,4998,2435,2563,4408,162,428,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-11-06,LIG,4314,2265,2049,457,1755,12,201,1889,ITC,ITC3,7,Liguria
2020-12-27,SAR,68,37,31,68,0,0,0,0,ITG,ITG2,20,Sardegna
2021-03-11,PIE,13661,5170,8491,10404,2881,376,0,0,ITC,ITC1,1,Piemonte
2021-05-04,UMB,5623,2578,3045,2342,3196,85,0,0,ITI,ITI2,10,Umbria
2021-06-03,PAB,4905,2671,2234,3662,957,286,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-06-10,PUG,47334,23278,24056,29407,17111,816,0,0,ITF,ITF4,16,Puglia
2021-08-12,SIC,15126,7585,7541,7949,6895,282,0,0,ITG,ITG1,19,Sicilia
2021-11-09,ABR,4896,2510,2386,438,1089,35,1094,2240,ITF,ITF1,13,Abruzzo
2021-03-03,VDA,258,119,139,178,70,10,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-04-01,LAZ,29944,14230,15714,22240,7129,575,0,0,ITI,ITI4,12,Lazio
2021-04-06,CAM,24536,11577,12959,19421,4497,618,0,0,ITF,ITF3,15,Campania
2021-05-19,PAT,5211,2523,2688,3667,1267,277,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-06-28,LOM,108132,55084,53048,74253,31008,2871,0,0,ITC,ITC4,3,Lombardia
2021-07-12,SIC,49021,22624,26397,6426,42354,241,0,0,ITG,ITG1,19,Sicilia
2021-08-22,TOS,18581,10005,8576,7339,10905,337,0,0,ITI,ITI1,9,Toscana
2021-10-06,VEN,11947,6243,5704,5103,4264,242,514,1824,ITH,ITH3,5,Veneto
2021-10-13,FVG,4776,2618,2158,1384,2584,52,152,604,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-04,PUG,6010,2984,3026,5884,7,119,0,0,ITF,ITF4,16,Puglia
2021-07-12,CAM,56713,27378,29335,3693,52572,448,0,0,ITF,ITF3,15,Campania
2021-08-15,LIG,1416,788,628,842,535,39,0,0,ITC,ITC3,7,Liguria
2021-08-24,PAT,4636,2484,2152,1328,3210,98,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2020-12-27,CAM,721,423,298,716,0,5,0,0,ITF,ITF3,15,Campania
2021-01-13,SAR,578,181,397,574,0,4,0,0,ITG,ITG2,20,Sardegna
2021-03-19,ABR,5799,2586,3213,2756,2999,44,0,0,ITF,ITF1,13,Abruzzo
2021-05-23,CAL,11394,5555,5839,6994,4348,52,0,0,ITF,ITF6,18,Calabria
2021-06-28,VEN,47693,24136,23557,18353,28482,858,0,0,ITH,ITH3,5,Veneto
2021-07-05,FVG,9811,4991,4820,1359,8290,162,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-07-10,LAZ,71268,35776,35492,25029,45468,771,0,0,ITI,ITI4,12,Lazio
2021-10-20,SIC,13261,7247,6014,4072,6228,282,723,1956,ITG,ITG1,19,Sicilia
2021-02-24,MOL,674,282,392,327,335,12,0,0,ITF,ITF2,14,Molise
2021-03-15,VDA,388,142,246,171,203,14,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-05-22,PAT,3379,1670,1709,857,2422,100,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-05-26,CAL,18763,9346,9417,10344,8315,104,0,0,ITF,ITF6,18,Calabria
2021-08-19,VDA,267,159,108,72,180,15,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-01-06,FVG,723,271,452,710,0,13,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-01-07,MAR,1826,645,1181,1808,0,18,0,0,ITI,ITI3,11,Marche
2021-01-21,LIG,1114,386,728,654,421,39,0,0,ITC,ITC3,7,Liguria
2021-03-02,SAR,3066,1637,1429,1840,1140,86,0,0,ITG,ITG2,20,Sardegna
2021-05-16,BAS,4973,2468,2505,2809,2107,57,0,0,ITF,ITF5,17,Basilicata
2021-08-22,LAZ,8814,5327,3487,2527,6193,94,0,0,ITI,ITI4,12,Lazio
2021-10-11,LOM,27447,15007,12440,7215,14084,728,525,4895,ITC,ITC4,3,Lombardia
2021-10-20,BAS,1108,589,519,185,492,33,78,320,ITF,ITF5,17,Basilicata
2021-03-16,EMR,12256,5028,7228,4850,7290,116,0,0,ITH,ITH5,8,Emilia-Romagna
2021-03-30,CAL,6606,2882,3724,3715,2858,33,0,0,ITF,ITF6,18,Calabria
2021-05-11,VDA,650,326,324,469,150,31,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-09-03,CAL,9074,4635,4439,3572,5304,198,0,0,ITF,ITF6,18,Calabria
2020-12-28,FVG,1,0,1,1,0,0,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-01-25,EMR,6470,2150,4320,370,6096,4,0,0,ITH,ITH5,8,Emilia-Romagna
2021-04-02,PIE,20022,8246,11776,11195,8242,585,0,0,ITC,ITC1,1,Piemonte
2021-04-28,SAR,9152,4322,4830,5214,3772,166,0,0,ITG,ITG2,20,Sardegna
2021-06-22,MAR,13219,6482,6737,6470,6445,304,0,0,ITI,ITI3,11,Marche
2021-07-01,EMR,34552,16888,17664,14771,18759,1022,0,0,ITH,ITH5,8,Emilia-Romagna
2021-10-28,PAT,2221,1048,1173,254,1064,28,16,859,ITH,ITH2,4,Provincia Autonoma Trento
2021-10-29,BAS,880,404,476,115,296,21,64,384,ITF,ITF5,17,Basilicata
2021-01-06,UMB,879,334,545,877,0,2,0,0,ITI,ITI2,10,Umbria
2021-02-12,ABR,1227,567,660,1023,188,16,0,0,ITF,ITF1,13,Abruzzo
2021-04-27,VDA,979,424,555,643,290,46,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-06-12,UMB,7730,3695,4035,5958,1578,194,0,0,ITI,ITI2,10,Umbria
2021-07-19,ABR,11779,5983,5796,2672,8928,179,0,0,ITF,ITF1,13,Abruzzo
2021-08-20,LIG,9661,5201,4460,3177,6356,128,0,0,ITC,ITC3,7,Liguria
2021-10-16,TOS,15876,8167,7709,3288,7794,453,105,4236,ITI,ITI1,9,Toscana
2021-01-18,SAR,912,329,583,758,129,25,0,0,ITG,ITG2,20,Sardegna
2021-03-23,EMR,18811,8153,10658,11872,6643,296,0,0,ITH,ITH5,8,Emilia-Romagna
2021-04-26,MAR,9176,4063,5113,6025,3012,139,0,0,ITI,ITI3,11,Marche
2021-05-29,PIE,32558,15086,17472,20119,12032,407,0,0,ITC,ITC1,1,Piemonte
2021-06-24,SAR,19206,9215,9991,8089,10963,154,0,0,ITG,ITG2,20,Sardegna
2021-09-02,BAS,3031,1624,1407,880,2072,79,0,0,ITF,ITF5,17,Basilicata
2021-09-30,MAR,5335,2931,2404,2661,2103,214,251,106,ITI,ITI3,11,Marche
2021-01-17,VDA,131,56,75,124,0,7,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-02-23,SIC,8786,4668,4118,8219,458,109,0,0,ITG,ITG1,19,Sicilia
2021-04-16,UMB,8165,3771,4394,6076,1885,204,0,0,ITI,ITI2,10,Umbria
2021-05-23,ABR,9887,4696,5191,7075,2683,129,0,0,ITF,ITF1,13,Abruzzo
2021-06-23,VDA,1046,551,495,426,615,5,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-08-20,TOS,20271,11120,9151,9982,9767,522,0,0,ITI,ITI1,9,Toscana
2021-09-08,FVG,3386,1933,1453,1619,1573,194,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-02-18,PIE,4858,2138,2720,4127,386,345,0,0,ITC,ITC1,1,Piemonte
2021-03-16,SAR,4452,1970,2482,3467,917,68,0,0,ITG,ITG2,20,Sardegna
2021-03-17,PAB,582,213,369,498,1,83,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-07-25,PIE,28647,15195,13452,6619,21502,526,0,0,ITC,ITC1,1,Piemonte
2021-08-21,PAB,1728,934,794,614,1066,48,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-09-15,PAT,1691,906,785,473,1158,60,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-03-09,SIC,13193,5782,7411,10820,2192,181,0,0,ITG,ITG1,19,Sicilia
2021-04-30,UMB,6277,2980,3297,2739,3404,134,0,0,ITI,ITI2,10,Umbria
2021-05-10,VEN,36536,17094,19442,25233,9752,1551,0,0,ITH,ITH3,5,Veneto
2021-06-06,ABR,11151,5311,5840,8781,2229,141,0,0,ITF,ITF1,13,Abruzzo
2021-06-19,LAZ,66663,31454,35209,35576,30219,868,0,0,ITI,ITI4,12,Lazio
2021-10-26,PUG,12702,6541,6161,1852,4674,276,206,5694,ITF,ITF4,16,Puglia
2021-03-19,TOS,10178,4477,5701,7152,2852,174,0,0,ITI,ITI1,9,Toscana
2021-04-16,PIE,28235,13137,15098,22352,4853,1030,0,0,ITC,ITC1,1,Piemonte
2021-05-05,CAM,51185,24866,26319,43118,6337,1730,0,0,ITF,ITF3,15,Campania
2021-05-13,PAB,3007,1360,1647,1001,1911,95,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-06-20,MOL,426,174,252,50,372,4,0,0,ITF,ITF2,14,Molise
2021-07-20,PAT,4860,2623,2237,1762,2930,168,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-08-18,MAR,6423,3424,2999,3215,2869,339,0,0,ITI,ITI3,11,Marche
2021-01-11,SIC,6050,2666,3384,5983,0,67,0,0,ITG,ITG1,19,Sicilia
2021-01-30,VEN,8769,2684,6085,856,7893,20,0,0,ITH,ITH3,5,Veneto
2021-02-08,SIC,3889,1681,2208,2097,1744,48,0,0,ITG,ITG1,19,Sicilia
2021-04-01,UMB,4582,1968,2614,2398,2140,44,0,0,ITI,ITI2,10,Umbria
2021-07-13,PUG,48928,23071,25857,7799,40494,635,0,0,ITF,ITF4,16,Puglia
2021-08-05,TOS,34799,18045,16754,12100,22275,424,0,0,ITI,ITI1,9,Toscana
2021-10-15,LAZ,17724,9384,8340,6002,5736,445,358,5183,ITI,ITI4,12,Lazio
2021-05-24,LIG,11899,5597,6302,9251,2484,164,0,0,ITC,ITC3,7,Liguria
2021-06-21,FVG,9246,4526,4720,1887,7204,155,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-07-24,LAZ,30848,15579,15269,3219,27461,168,0,0,ITI,ITI4,12,Lazio
2021-07-29,CAM,48494,24340,24154,13371,34098,1025,0,0,ITF,ITF3,15,Campania
2021-09-10,PAT,2501,1300,1201,767,1652,82,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-11-03,SIC,14474,8010,6464,2116,7461,140,1402,3355,ITG,ITG1,19,Sicilia
2021-01-18,MAR,696,237,459,538,147,11,0,0,ITI,ITI3,11,Marche
2021-01-21,PAB,970,453,517,142,825,3,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-03-01,CAL,2779,1574,1205,2311,458,10,0,0,ITF,ITF6,18,Calabria
2021-03-25,PIE,16770,7079,9691,7962,8231,577,0,0,ITC,ITC1,1,Piemonte
2021-05-25,VDA,1118,532,586,540,566,12,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-05-27,BAS,3620,1861,1759,1078,2527,15,0,0,ITF,ITF5,17,Basilicata
2021-07-15,LOM,109411,56287,53124,13594,94568,1249,0,0,ITC,ITC4,3,Lombardia
2021-09-19,VEN,8236,4595,3641,3205,4827,204,0,0,ITH,ITH3,5,Veneto
2021-10-21,PUG,14477,7474,7003,2628,5989,405,303,5152,ITF,ITF4,16,Puglia
2021-11-13,TOS,9224,4318,4906,867,2627,114,754,4862,ITI,ITI1,9,Toscana
2021-01-08,UMB,1244,356,888,1242,0,2,0,0,ITI,ITI2,10,Umbria
2021-01-09,MOL,457,154,303,447,0,10,0,0,ITF,ITF2,14,Molise
2021-03-13,FVG,2955,1126,1829,1649,1265,41,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-20,CAM,32197,15565,16632,20213,11278,706,0,0,ITF,ITF3,15,Campania
2021-10-04,PUG,10355,5559,4796,3064,6362,453,431,45,ITF,ITF4,16,Puglia
2021-01-25,VEN,6472,2077,4395,358,6113,1,0,0,ITH,ITH3,5,Veneto
2021-02-14,VDA,48,16,32,1,47,0,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-03-21,PUG,2699,1228,1471,583,2099,17,0,0,ITF,ITF4,16,Puglia
2021-04-05,ABR,2692,1147,1545,1731,878,83,0,0,ITF,ITF1,13,Abruzzo
2021-04-06,LOM,43114,17604,25510,24383,17704,1027,0,0,ITC,ITC4,3,Lombardia
2021-04-28,MAR,10941,4984,5957,6041,4719,181,0,0,ITI,ITI3,11,Marche
2021-05-07,LIG,13623,6050,7573,5757,7718,148,0,0,ITC,ITC3,7,Liguria
2021-06-09,CAL,18266,8628,9638,15889,2283,94,0,0,ITF,ITF6,18,Calabria
2021-09-04,BAS,2605,1396,1209,771,1764,70,0,0,ITF,ITF5,17,Basilicata
2021-09-26,FVG,3669,2112,1557,2987,486,183,11,2,ITH,ITH4,6,Friuli-Venezia Giulia
2021-01-01,PIE,1050,399,651,1015,0,35,0,0,ITC,ITC1,1,Piemonte
2021-03-05,ABR,5347,1959,3388,4585,693,69,0,0,ITF,ITF1,13,Abruzzo
2021-04-19,MOL,1904,866,1038,987,782,135,0,0,ITF,ITF2,14,Molise
2021-05-08,VDA,909,544,365,499,379,31,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-07-24,PAT,1017,556,461,515,445,57,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-08-26,EMR,27697,14796,12901,9400,17307,990,0,0,ITH,ITH5,8,Emilia-Romagna
2021-09-15,LIG,6206,3258,2948,2109,3951,146,0,0,ITC,ITC3,7,Liguria
2021-02-20,TOS,4724,1815,2909,4049,529,146,0,0,ITI,ITI1,9,Toscana
2021-04-13,FVG,7448,3315,4133,5664,1514,270,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-06-29,PUG,46908,22517,24391,15408,30742,758,0,0,ITF,ITF4,16,Puglia
2021-07-25,PAB,1897,1130,767,660,1146,91,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-10-01,LAZ,13543,6974,6569,3602,5480,258,756,3447,ITI,ITI4,12,Lazio
2021-10-08,SAR,5946,3229,2717,1937,3564,124,225,96,ITG,ITG2,20,Sardegna
2021-10-11,MAR,4482,2381,2101,1691,1805,130,108,748,ITI,ITI3,11,Marche
2021-11-06,VEN,10226,5036,5190,1229,2979,100,1214,4704,ITH,ITH3,5,Veneto
2021-01-13,LOM,26502,8106,18396,24699,0,1803,0,0,ITC,ITC4,3,Lombardia
2021-02-13,LIG,1082,510,572,795,272,15,0,0,ITC,ITC3,7,Liguria
2021-06-12,PUG,34732,17309,17423,25083,8961,688,0,0,ITF,ITF4,16,Puglia
2021-07-06,MAR,13966,6923,7043,3162,10566,238,0,0,ITI,ITI3,11,Marche
2021-09-14,LAZ,18588,9231,9357,7513,10137,938,0,0,ITI,ITI4,12,Lazio
2021-11-01,PAT,1,1,0,0,0,0,0,1,ITH,ITH2,4,Provincia Autonoma Trento
2021-11-12,BAS,1466,721,745,137,238,10,274,807,ITF,ITF5,17,Basilicata
2021-01-03,FVG,318,128,190,314,0,4,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-03-03,BAS,1823,852,971,1229,556,38,0,0,ITF,ITF5,17,Basilicata
2021-04-02,MOL,1488,728,760,661,782,45,0,0,ITF,ITF2,14,Molise
2021-05-31,TOS,30383,14662,15721,19376,10752,255,0,0,ITI,ITI1,9,Toscana
2021-06-28,CAM,46545,22744,23801,20410,25302,833,0,0,ITF,ITF3,15,Campania
2021-07-29,VEN,47610,25169,22441,20179,26481,950,0,0,ITH,ITH3,5,Veneto
2021-09-12,EMR,14862,8149,6713,3969,10424,469,0,0,ITH,ITH5,8,Emilia-Romagna
2021-09-12,PIE,10612,5631,4981,3614,6500,498,0,0,ITC,ITC1,1,Piemonte
2021-06-27,ABR,8365,4299,4066,5016,3202,147,0,0,ITF,ITF1,13,Abruzzo
2021-07-20,MAR,14396,7435,6961,1780,12434,182,0,0,ITI,ITI3,11,Marche
2021-08-31,CAL,6829,3378,3451,2672,4029,128,0,0,ITF,ITF6,18,Calabria
2021-09-20,PUG,16885,9191,7694,5992,9486,876,488,43,ITF,ITF4,16,Puglia
