area,nome_area,totale_popolazione
ABR,Abruzzo,95082
BAS,Basilicata,40737
CAL,Calabria,126653
CAM,Campania,397055
EMR,Emilia-Romagna,335087
FVG,Friuli-Venezia Giulia,87194
LAZ,Lazio,435980
LIG,Liguria,110729
LOM,Lombardia,773886
MAR,Marche,108678
MOL,Molise,22911
PAB,P.A. Bolzano,34307
PAT,P.A. Trento,39231
PIE,Piemonte,309437
PUG,Puglia,300985
SAR,Sardegna,120280
SIC,Sicilia,323389
TOS,Toscana,278505
UMB,Umbria,65283
VDA,Valle d'Aosta,8633
VEN,Veneto,353906
